testiaineisto: 1000:1000:1:1:2:1 esteitä, akseliensuuntainen, 500:5, ennen rehash
polun pituus	aika ms
1168	308	193914
502	32	40594
929	149	131931
509	33	38477
853	217	165318
981	148	140013
1281	414	282810
549	34	43230
444	20	25030
1111	204	169615
775	102	93297
240	5	7988
770	118	107683
1025	221	172042
724	75	78254
388	17	22705
726	69	69777
1080	241	188677
507	36	43695
579	76	67842
573	46	52062
903	126	116531
490	23	29888
105	0	1192
927	168	129869
358	14	19621
468	23	28486
454	24	29815
907	202	145814
187	3	4226
787	96	92580
692	68	65830
979	332	201617
627	91	89599
1424	473	294092
520	62	67224
939	177	143730
121	1	1914
696	74	74260
738	100	93444
677	72	67425
476	31	38001
1188	379	222529
897	99	102639
397	15	21142
497	52	52165
979	193	143723
796	76	78908
468	24	28859
361	13	18047
659	56	60320
467	29	35196
948	188	141320
344	21	25881
448	25	30094
153	2	3489
749	112	92259
275	6	10309
1070	291	177838
994	131	99475
602	63	60348
1017	195	161650
783	82	82624
651	64	61191
1115	283	197802
820	89	90146
1104	229	188077
259	6	10313
332	12	16335
747	111	92639
465	31	37045
1065	321	192520
1089	292	185866
184	2	4387
985	197	148280
147	1	2950
219	4	6933
1258	409	273218
300	19	24161
190	1	2900
627	49	54181
1615	766	435297
513	31	37781
393	17	23395
421	19	24604
954	164	125427
848	111	106937
437	23	25189
707	80	81695
1125	221	177283
375	14	19233
30	0	105
1023	194	164072
775	112	100602
1560	696	414606
198	3	5614
457	21	28816
945	177	130683
777	92	89245
1078	265	185229
1436	621	357779
1174	320	223449
894	132	121555
1343	475	301395
673	73	67405
554	40	42041
1169	328	222106
823	123	103871
584	54	58081
504	31	37159
671	64	66641
480	39	43148
229	6	8558
683	73	73416
531	35	40875
966	161	145999
1089	256	176524
524	34	40060
808	100	87582
916	278	194369
395	18	24052
87	0	798
471	26	30834
1496	616	374748
422	24	30619
1113	255	199737
339	13	15603
712	94	87687
613	59	62608
1039	227	184108
475	23	31056
1315	417	285944
778	96	93878
1124	282	202730
683	69	72577
403	16	21044
597	60	59116
855	118	109073
1323	402	281390
394	17	24141
391	13	17752
1107	359	244123
788	112	94865
496	32	38112
153	1	2665
715	88	76423
676	82	65505
495	36	37177
558	88	70814
505	30	33361
549	45	39774
804	98	87891
676	57	58046
448	25	28641
1114	316	208700
922	184	136750
345	12	16874
60	0	369
469	27	29420
481	29	36417
1320	436	262180
683	79	68375
505	34	30108
501	36	36178
196	3	4260
443	24	23219
1199	308	211511
445	20	25121
716	72	69800
727	60	62668
998	184	155428
75	0	700
386	26	24931
731	85	78938
499	31	35452
686	68	66514
1130	262	190367
664	59	64147
405	29	35044
654	64	62575
1149	270	193685
853	112	104741
237	5	8343
429	23	29620
758	86	81963
482	25	32704
1057	259	188204
823	102	94332
1294	804	363911
1032	270	167194
732	158	69423
693	89	67431
1154	361	219049
760	185	87374
380	26	21524
462	42	30051
429	43	28098
468	53	37646
629	90	59708
905	181	107140
693	99	77791
924	233	130102
726	61	67745
382	18	23452
481	25	29862
877	105	101406
626	94	60849
701	107	62691
354	42	26437
258	13	12533
220	6	7070
915	279	138533
665	85	59010
600	67	56599
977	335	194674
553	86	75764
545	60	40749
602	72	46259
805	144	83322
722	115	77984
475	35	30312

testiaineisto: 1000:1000:1:1:2:1 esteitä, akseliensuuntainen, 500:5, rehash herkempi, aloituskoko 1000
